Ligne;Voy.;Début;Fin;De;À;Js srv
C00A1;1;05:00;05:21;GOGAR;CEN05;12345
C00A1;2;04:30;04:48;CEN18;GOGAR;12345
C00A1;3;05:30;05:51;GOGAR;CEN05;12345
C00A1;4;05:00;05:18;CEN18;GOGAR;12345
C0068;5;16:30;17:02;JUMA2;CEN05;12345
C00A1;5;06:00;06:21;GOGAR;CEN05;12345
C00A1;6;05:30;05:48;CEN18;GOGAR;12345
C00A1;7;06:30;06:51;GOGAR;CEN05;12345
C00A1;8;06:00;06:18;CEN18;GOGAR;12345
C00A1;9;07:00;07:21;GOGAR;CEN05;12345
C00A1;10;06:30;06:48;CEN18;GOGAR;12345
C00A1;11;07:30;07:51;GOGAR;CEN05;12345
C00A1;12;07:00;07:18;CEN18;GOGAR;12345
C00A1;13;08:00;08:21;GOGAR;CEN05;12345
C00A1;14;07:30;07:48;CEN18;GOGAR;12345
C00A1;15;08:30;08:51;GOGAR;CEN05;12345
C00A1;16;08:00;08:18;CEN18;GOGAR;12345
C00A1;17;09:00;09:21;GOGAR;CEN05;12345
C00A1;18;08:30;08:48;CEN18;GOGAR;12345
C00A1;19;09:30;09:51;GOGAR;CEN05;12345
C00A1;20;09:00;09:18;CEN18;GOGAR;12345
C00A1;21;10:00;10:21;GOGAR;CEN05;12345
C00A1;22;09:30;09:48;CEN18;GOGAR;12345
C00A1;23;10:30;10:51;GOGAR;CEN05;12345
C00A1;24;10:00;10:18;CEN18;GOGAR;12345
C00A1;25;11:00;11:21;GOGAR;CEN05;12345
C00A1;26;10:30;10:48;CEN18;GOGAR;12345
C00A1;27;11:30;11:51;GOGAR;CEN05;12345
C00A1;28;11:00;11:18;CEN18;GOGAR;12345
C00A1;29;12:00;12:21;GOGAR;CEN05;12345
C00A1;30;11:30;11:48;CEN18;GOGAR;12345
C00A1;31;12:30;12:51;GOGAR;CEN05;12345
C00A1;32;12:00;12:18;CEN18;GOGAR;12345
C00A1;33;13:00;13:21;GOGAR;CEN05;12345
C00A1;34;12:30;12:48;CEN18;GOGAR;12345
C00A1;35;13:30;13:51;GOGAR;CEN05;12345
C00A1;36;13:00;13:18;CEN18;GOGAR;12345
C00A1;37;14:00;14:21;GOGAR;CEN05;12345
C00A1;38;13:30;13:48;CEN18;GOGAR;12345
C00A1;39;14:30;14:51;GOGAR;CEN05;12345
C00A1;40;14:00;14:18;CEN18;GOGAR;12345
C00A1;41;15:00;15:21;GOGAR;CEN05;12345
C00A1;42;14:30;14:48;CEN18;GOGAR;12345
C00A1;43;15:30;15:51;GOGAR;CEN05;12345
C00A1;44;15:00;15:18;CEN18;GOGAR;12345
C00A1;45;16:00;16:21;GOGAR;CEN05;12345
C00A1;46;15:30;15:48;CEN18;GOGAR;12345
C00A1;47;16:30;16:51;GOGAR;CEN05;12345
C00A1;48;16:00;16:18;CEN18;GOGAR;12345
C00A1;49;17:00;17:21;GOGAR;CEN05;12345
C00A1;50;16:30;16:48;CEN18;GOGAR;12345
C00A1;51;17:30;17:51;GOGAR;CEN05;12345
C00A1;52;17:00;17:18;CEN18;GOGAR;12345
C00A1;53;18:00;18:21;GOGAR;CEN05;12345
C00A1;54;17:30;17:48;CEN18;GOGAR;12345
C00A1;55;18:30;18:51;GOGAR;CEN05;12345
C00A1;56;18:00;18:18;CEN18;GOGAR;12345
C00A1;57;19:00;19:21;GOGAR;CEN05;12345
C00A1;58;18:30;18:48;CEN18;GOGAR;12345
C00A1;59;19:30;19:51;GOGAR;CEN05;12345
C00A1;60;19:00;19:18;CEN18;GOGAR;12345
C00A1;61;20:00;20:21;GOGAR;CEN05;12345
C00A1;62;19:30;19:48;CEN18;GOGAR;12345
C00A1;63;20:30;20:51;GOGAR;CEN05;12345
C00A1;64;20:00;20:18;CEN18;GOGAR;12345
C00A1;65;21:00;21:21;GOGAR;CEN05;12345
C00A1;66;20:30;20:48;CEN18;GOGAR;12345
C00A1;67;21:30;21:51;GOGAR;CEN05;12345
C00A1;68;21:00;21:18;CEN18;GOGAR;12345
C00A1;69;22:00;22:21;GOGAR;CEN05;12345
C00A1;70;21:30;21:48;CEN18;GOGAR;12345
C00A1;71;22:30;22:51;GOGAR;CEN05;12345
C00A1;72;22:00;22:18;CEN18;GOGAR;12345
C00A1;73;23:00;23:21;GOGAR;CEN05;12345
C00A1;74;22:30;22:48;CEN18;GOGAR;12345
C00A1;75;23:30;23:51;GOGAR;CEN05;12345
C00A1;76;23:00;23:18;CEN18;GOGAR;12345
